,no_6,value_6,no_5,value_5,no_4,value_4,no_3,value_3,winning_tickets,winnings
21-11-2020,0.0,0.0,44.0,231840.40000000002,2183.0,442275.8,39532.0,948768.0,41759.0,1622884.2
19-11-2020,1.0,3536446.2,33.0,194858.4,1910.0,278478.0,37116.0,890784.0,39060.0,4900566.6
17-11-2020,0.0,0.0,30.0,186114.0,1642.0,366494.39999999997,31263.0,750312.0,32935.0,1302920.4
14-11-2020,0.0,0.0,48.0,262022.40000000002,2362.0,500980.2,44640.0,1071360.0,47050.0,1834362.6
12-11-2020,1.0,2000000.0,99.0,156509.1,2778.0,100008.0,38194.0,916656.0,41072.0,3173173.1
10-11-2020,1.0,7388214.4,58.0,256696.40000000002,2590.0,386169.0,48088.0,1154112.0,50737.0,9185191.8
07-11-2020,0.0,0.0,62.0,278404.8,3233.0,277391.39999999997,58048.0,1393152.0,61343.0,1948948.2
05-11-2020,0.0,0.0,42.0,206703.0,2515.0,248230.5,41335.0,992040.0,43892.0,1446973.5
03-11-2020,0.0,0.0,46.0,191705.0,2160.0,212112.0,39096.0,938304.0,41302.0,1342121.0
31-10-2020,0.0,0.0,42.0,240088.8,2136.0,427200.0,42224.0,1013376.0,44402.0,1680664.8
29-10-2020,0.0,0.0,26.0,169720.19999999998,1672.0,259661.6,31611.0,758664.0,33309.0,1188045.8
27-10-2020,1.0,3311283.4,37.0,190642.5,2336.0,203465.59999999998,39184.0,940416.0,41558.0,4645807.5
24-10-2020,0.0,0.0,24.0,239016.0,2123.0,514402.9,38327.0,919848.0,40474.0,1673266.9
22-10-2020,0.0,0.0,21.0,172397.4,1496.0,348268.8,28591.0,686184.0,30108.0,1206850.2
20-10-2020,2.0,2318874.6,32.0,184896.0,1654.0,378931.39999999997,30439.0,730536.0,32127.0,3613238.0
17-10-2020,0.0,0.0,45.0,236717.99999999997,2176.0,444556.80000000005,40658.0,975792.0,42879.0,1657066.8
15-10-2020,1.0,2000000.0,43.0,180492.5,2214.0,170920.80000000002,38007.0,912168.0,40265.0,3263581.3
13-10-2020,1.0,4814831.5,60.0,215904.0,2423.0,268710.7,42786.0,1026864.0,45270.0,6326310.2
10-10-2020,0.0,0.0,57.0,281551.5,2843.0,474212.4,50630.0,1215120.0,53530.0,1970883.9
08-10-2020,0.0,0.0,35.0,193494.0,1827.0,324657.89999999997,34850.0,836400.0,36712.0,1354551.9
06-10-2020,0.0,0.0,37.0,184482.0,2285.0,267573.5,34975.0,839400.0,37297.0,1291455.5
03-10-2020,1.0,9866410.7,55.0,359689.0,3244.0,737361.2000000001,59205.0,1420920.0,62505.0,12384380.899999999
01-10-2020,0.0,0.0,33.0,255030.6,2218.0,480197.0,43756.0,1050144.0,46007.0,1785371.6
29-09-2020,0.0,0.0,41.0,245741.69999999998,2150.0,537070.0,39063.0,937512.0,41254.0,1720323.7
26-09-2020,0.0,0.0,51.0,290592.89999999997,2640.0,570768.0,48876.0,1173024.0,51567.0,2034384.9
